date,ward,zone_type,population,day_of_week,day_name,month,is_weekend,is_festival,festival_name,season_factor,rainfall_mm,temperature_c,waste_collected_kg
2023-01-01,Balinge,Residential,11200,6,Sunday,1,1,0,None,1.0,0.3,20.4,2911.4
2023-01-01,Gandhinagar,Residential,17600,6,Sunday,1,1,0,None,1.0,1.7,18.2,4378.2
2023-01-01,Karveer,Residential,14500,6,Sunday,1,1,0,None,1.0,0.5,21.4,3400.1
2023-01-01,Kasba Bawada,Residential,19800,6,Sunday,1,1,0,None,1.0,0.4,22.5,4643.2
2023-01-01,Kothali,Residential,12300,6,Sunday,1,1,0,None,1.0,3.7,21.5,3139.3
2023-01-01,Laxmipuri,Mixed,17800,6,Sunday,1,1,0,None,1.0,3.3,21.8,4835.6
2023-01-01,Line Bazar,Commercial,13900,6,Sunday,1,1,0,None,1.0,3.8,21.1,4477.5
2023-01-01,Mahadwar Road,Commercial,15400,6,Sunday,1,1,0,None,1.0,1.4,20.7,5016.9
2023-01-01,Mangalwar Peth,Commercial,20100,6,Sunday,1,1,0,None,1.0,0.0,21.6,6714.6
2023-01-01,Mhasve,Residential,10800,6,Sunday,1,1,0,None,1.0,2.6,22.0,2910.0
2023-01-01,Nagala Park,Mixed,19200,6,Sunday,1,1,0,None,1.0,1.0,21.3,5749.9
2023-01-01,Phulewadi,Residential,18700,6,Sunday,1,1,0,None,1.0,5.4,24.2,4731.8
2023-01-01,Rajaram Road,Commercial,18200,6,Sunday,1,1,0,None,1.0,0.7,23.3,6520.7
2023-01-01,Rajarampuri,Residential,23400,6,Sunday,1,1,0,None,1.0,0.0,22.1,5563.8
2023-01-01,Rankala,Residential,16800,6,Sunday,1,1,0,None,1.0,0.0,20.0,4511.7
2023-01-01,Sambhajinagar,Mixed,21800,6,Sunday,1,1,0,None,1.0,3.2,23.3,6924.2
2023-01-01,Shahupuri,Commercial,22500,6,Sunday,1,1,0,None,1.0,2.3,19.9,7799.1
2023-01-01,Shivaji Peth,Mixed,21000,6,Sunday,1,1,0,None,1.0,0.0,22.3,5970.3
2023-01-01,Tarabai Park,Residential,14200,6,Sunday,1,1,0,None,1.0,2.3,24.9,3513.8
2023-01-01,Udyam Nagar,Industrial,16500,6,Sunday,1,1,0,None,1.0,0.0,21.6,4753.8
2023-01-02,Balinge,Residential,11200,0,Monday,1,0,0,None,1.0,2.0,21.2,3174.0
2023-01-02,Gandhinagar,Residential,17600,0,Monday,1,0,0,None,1.0,1.2,22.3,5023.7
2023-01-02,Karveer,Residential,14500,0,Monday,1,0,0,None,1.0,0.4,21.0,4093.8
2023-01-02,Kasba Bawada,Residential,19800,0,Monday,1,0,0,None,1.0,0.0,25.2,5578.6
2023-01-02,Kothali,Residential,12300,0,Monday,1,0,0,None,1.0,0.0,25.0,3408.5
2023-01-02,Laxmipuri,Mixed,17800,0,Monday,1,0,0,None,1.0,1.4,23.3,5703.4
2023-01-02,Line Bazar,Commercial,13900,0,Monday,1,0,0,None,1.0,1.5,19.6,5297.8
2023-01-02,Mahadwar Road,Commercial,15400,0,Monday,1,0,0,None,1.0,1.0,20.7,6096.1
2023-01-02,Mangalwar Peth,Commercial,20100,0,Monday,1,0,0,None,1.0,0.2,20.4,8071.2
2023-01-02,Mhasve,Residential,10800,0,Monday,1,0,0,None,1.0,6.9,24.8,3629.9
2023-01-02,Nagala Park,Mixed,19200,0,Monday,1,0,0,None,1.0,5.4,25.6,6525.3
2023-01-02,Phulewadi,Residential,18700,0,Monday,1,0,0,None,1.0,2.3,24.0,5529.5
2023-01-02,Rajaram Road,Commercial,18200,0,Monday,1,0,0,None,1.0,0.5,21.5,7591.5
2023-01-02,Rajarampuri,Residential,23400,0,Monday,1,0,0,None,1.0,4.9,19.9,6729.8
2023-01-02,Rankala,Residential,16800,0,Monday,1,0,0,None,1.0,0.0,23.6,4961.7
2023-01-02,Sambhajinagar,Mixed,21800,0,Monday,1,0,0,None,1.0,0.0,20.0,7940.1
2023-01-02,Shahupuri,Commercial,22500,0,Monday,1,0,0,None,1.0,1.9,22.8,8987.1
2023-01-02,Shivaji Peth,Mixed,21000,0,Monday,1,0,0,None,1.0,2.0,23.6,7055.0
2023-01-02,Tarabai Park,Residential,14200,0,Monday,1,0,0,None,1.0,0.3,24.3,3776.2
